求人ID,自社ID,賞与,給与,仕事内容
86548,,"保育園の仕事のcoco（ココ）が好き☆
ココファン・ナーサリーにはあなたがそんな風にやりがいを感じてお仕事出来る環境が整っています♪",時給：1800円～　※入社後３カ月の試用期間中は時給1500円,
86549,,"保育園の仕事のcoco（ココ）が好き☆
ココファン・ナーサリーにはあなたがそんな風にやりがいを感じてお仕事出来る環境が整っています♪","月給250,000円～300,000円（諸手当含む）","・賞与年2回（6月・12月）
・昇給有（年1回）
・社保完備
・産休・育休制度有
・保養施設有"
86550,,"保育園の仕事のcoco（ココ）が好き☆
ココファン・ナーサリーにはあなたがそんな風にやりがいを感じてお仕事出来る環境が整っています♪","【契約社員　※正社員登用有り】
・月給18万5000円～

【パート社員】
・時給950円～","・賞与年2回（6月・12月）
・昇給有（年1回）
・社保完備
・産休・育休制度有
・保養施設有"
86551,,"保育園の仕事のcoco（ココ）が好き☆
ココファン・ナーサリーにはあなたがそんな風にやりがいを感じてお仕事出来る環境が整っています♪","【契約社員　※正社員登用有り】
・月給18万5000円～

【パート社員】
・時給950円～",賞与年2回（6月・12月）
86552,,"保育園の仕事のcoco（ココ）が好き☆
ココファン・ナーサリーにはあなたがそんな風にやりがいを感じてお仕事出来る環境が整っています♪","【契約社員　※正社員登用有り】
・月給18万5000円～

【パート社員】
・時給950円～",賞与年2回（6月・12月）
86553,,"保育園の仕事のcoco（ココ）が好き☆
ココファン・ナーサリーにはあなたがそんな風にやりがいを感じてお仕事出来る環境が整っています♪","【契約社員　※正社員登用有り】
・月給18万5000円～

【パート社員】
・時給950円～",賞与年2回（6月・12月）
86554,,"保育園の仕事のcoco（ココ）が好き☆
ココファン・ナーサリーにはあなたがそんな風にやりがいを感じてお仕事出来る環境が整っています♪","【契約社員　※正社員登用有り】
・月給18万5000円～

【パート社員】
・時給950円～",賞与年2回（6月・12月）
86555,,"保育園の仕事のcoco（ココ）が好き☆
ココファン・ナーサリーにはあなたがそんな風にやりがいを感じてお仕事出来る環境が整っています♪","【契約社員　※正社員登用有り】
・月給18万5000円～

【パート社員】
・時給950円～",賞与年2回（6月・12月）
86556,,"保育園の仕事のcoco（ココ）が好き☆
ココファン・ナーサリーにはあなたがそんな風にやりがいを感じてお仕事出来る環境が整っています♪","【契約社員　※正社員登用有り】
・月給18万5000円～

【パート社員】
・時給950円～",賞与年2回（6月・12月）
86557,,"保育園の仕事のcoco（ココ）が好き☆
ココファン・ナーサリーにはあなたがそんな風にやりがいを感じてお仕事出来る環境が整っています♪","【契約社員　※正社員登用有り】
・月給18万5000円～

【パート社員】
・時給950円～",賞与年2回（6月・12月）
